Word Spacing,Pen Pressure_LOW,Baseline_DESCENDING,Baseline_STRAIGHT,Word Size_NORMAL,Word Size_SMALL,Emotion,Attention,Optimism
226.7728182,1,0,1,0,1,,,
33.83784863,0,0,1,0,1,,,
444.8558739,1,0,1,0,1,,,
303.5984671,1,0,1,0,1,,,
331.3061712,1,0,1,0,1,,,
309.994364,1,0,1,1,0,,,
451.6995169,1,1,0,1,0,,,
327.4229148,0,0,1,0,1,,,
509.0437983,1,0,1,0,0,,,
154.1009522,1,0,1,0,1,,,
92.64987858,1,0,1,0,1,,,
289.0410645,1,1,0,1,0,,,
276.6108928,1,1,0,0,0,,,
221.0582801,1,0,1,1,0,,,
441.925097,1,0,1,0,1,,,
322.0134843,0,0,1,0,1,,,
163.0188623,1,0,1,0,1,,,
258.8298798,1,0,1,0,1,,,
248.3598203,0,0,1,0,1,,,
297.4681499,1,1,0,1,0,,,
177.4131749,0,0,1,0,1,,,
403.7419884,1,0,1,0,0,,,
393.1940623,1,0,1,0,1,,,
302.5486361,1,0,1,0,0,,,
223.4279869,0,0,1,0,1,,,
374.8668287,1,0,1,1,0,,,
393.7730788,0,0,1,0,1,,,
341.1569553,0,1,0,0,0,,,
174.767789,1,1,0,1,0,,,
476.4208429,1,0,1,0,1,,,
452.9430093,0,0,1,0,0,,,
356.9941024,1,0,1,1,0,,,
429.9187573,1,1,0,0,1,,,
177.3596817,1,0,1,0,1,,,
327.1246429,0,0,1,0,1,,,
181.8378398,1,1,0,0,0,,,
260.7235101,1,0,1,0,1,,,
274.909014,0,1,0,0,0,,,
786.8576746,1,0,1,0,0,,,
415.3672691,0,0,1,1,0,,,
195.4336654,1,0,1,0,1,,,
412.3846269,1,0,1,0,1,,,
315.1950056,1,0,1,0,1,,,
404.1643098,1,0,1,0,0,,,
308.4712015,0,0,1,0,1,,,
316.9984899,1,0,1,0,1,,,
474.1122343,1,0,0,0,0,,,
270.9673628,1,0,1,1,0,,,
36.35410197,1,0,1,0,1,,,
201.7507102,1,0,1,1,0,,,
377.9480365,1,0,1,0,1,,,
243.3093109,0,0,1,0,1,,,
301.5327511,0,0,1,1,0,,,
52.0,1,0,1,1,0,,,
276.2037077,0,0,1,0,1,,,
133.7040664,1,0,1,0,1,,,
344.5845037,0,0,1,0,0,,,
168.521257,1,0,0,0,1,,,
421.6315951,1,0,1,1,0,,,
327.6079475,1,0,1,0,1,,,
508.165545,1,0,1,0,1,,,
900.2805118,1,1,0,0,1,,,
299.6606304,0,0,1,1,0,,,
482.7890894,0,0,1,0,1,,,
601.2813623,0,0,1,0,1,,,
355.6052109,1,0,1,1,0,,,
377.0621709,1,0,1,0,1,,,
157.5468184,1,0,1,1,0,,,
435.8681324,1,0,1,0,0,,,
117.1234146,1,0,1,0,1,,,
273.0602971,0,0,1,0,1,,,
188.2756773,0,0,1,0,0,,,
513.4033584,1,0,0,0,0,,,
298.7917787,0,0,0,0,1,,,
315.1843709,1,0,1,0,0,,,
296.2554592,1,0,1,0,1,,,
62.84863069,0,0,1,1,0,,,
453.3524931,0,0,1,0,1,,,
403.0397003,1,0,1,0,1,,,
936.8975398,1,0,1,1,0,,,
315.5462939,1,0,1,1,0,,,
370.5833488,0,0,1,0,1,,,
177.0830109,1,0,1,1,0,,,
254.7567467,0,0,1,0,1,,,
387.7792154,1,0,1,0,0,,,
343.5794476,1,0,0,1,0,,,
469.0826061,1,0,1,0,1,,,
294.2790677,1,0,1,1,0,,,
321.26773,1,0,1,1,0,,,
495.0227915,1,0,1,0,1,,,
397.3852325,1,0,0,0,1,,,
314.610224,0,1,0,1,0,,,
344.1215337,1,0,1,0,0,,,
396.0766101,1,0,1,0,0,,,
409.9444302,1,0,1,0,1,,,
403.1280934,1,0,1,1,0,,,
295.8467873,0,1,0,0,0,,,
45.2321246,1,0,1,1,0,,,
473.2642765,1,0,0,0,1,,,
205.3411795,0,0,1,0,1,,,
357.0155942,1,0,1,0,0,,,
434.8452957,1,0,1,1,0,,,
312.1976167,1,0,1,0,1,,,
369.9793016,0,0,1,0,0,,,
400.7106577,1,0,1,0,0,,,
365.0981878,1,0,1,1,0,,,
334.5622296,1,0,0,0,1,,,
410.8980374,1,0,1,0,1,,,
466.1455969,1,0,1,0,0,,,
265.665826,1,0,1,0,0,,,
384.3644516,0,0,1,1,0,,,
417.3079631,1,0,1,0,0,,,
253.1413299,1,0,1,1,0,,,
281.3575992,1,0,1,1,0,,,
185.1522006,1,0,1,1,0,,,
429.1217959,1,0,1,0,1,,,
172.9396817,1,0,1,1,0,,,
393.0945844,1,0,1,0,1,,,
321.7418866,1,0,1,0,1,,,
667.4563656,0,0,1,0,1,,,
322.684056,1,0,1,0,0,,,
475.7942186,0,0,1,0,1,,,
252.1917429,1,0,1,0,1,,,
389.0880497,1,0,1,0,1,,,
868.3317338,1,0,1,1,0,,,
478.5719614,1,0,1,0,1,,,
314.0211413,0,0,1,0,0,,,
236.8955934,1,0,1,0,1,,,
312.2551962,1,1,0,0,1,,,
242.1504802,1,0,1,0,1,,,
204.7977381,0,0,1,0,1,,,
443.117207,1,1,0,1,0,,,
311.5684042,0,0,1,0,0,,,
949.5472605,1,0,1,0,1,,,
342.0119552,1,0,1,0,0,,,
310.7751607,1,0,0,0,1,,,
129.9354622,0,0,1,1,0,,,
320.9409919,1,0,1,0,1,,,
417.5459801,1,1,0,0,0,,,
283.4511266,0,0,1,0,0,,,
284.4496258,1,0,1,0,1,,,
199.6274874,1,0,1,0,1,,,
476.1106442,0,0,1,0,1,,,
949.3034288,1,0,1,0,0,,,
89.0,1,0,1,0,1,,,
372.5564035,0,0,1,1,0,,,
329.9501249,1,0,1,0,1,,,
193.7237807,0,0,1,0,1,,,
451.2493767,1,1,0,1,0,,,
248.2670003,0,0,1,0,1,,,
154.4032374,0,0,1,0,1,,,
381.2693844,0,0,0,1,0,,,
283.9593617,0,0,1,0,1,,,
384.2846004,0,0,1,1,0,,,
399.4907874,1,0,1,1,0,,,
93.47726996,0,0,1,0,1,,,
421.209826,1,0,1,0,1,,,
507.0722078,1,0,1,0,1,,,
492.7729764,0,0,1,0,1,,,
298.7023947,1,0,1,1,0,,,
399.2146832,0,0,1,0,0,,,
294.9387321,1,1,0,0,1,,,
291.0212154,1,0,1,0,1,,,
296.6177255,1,0,1,1,0,,,
436.234453,0,0,1,0,1,,,
141.716134,1,0,1,0,1,,,
402.1333472,1,0,1,0,1,,,
206.4423345,1,0,0,0,1,,,
237.7422858,1,0,1,0,1,,,
520.215243,1,0,1,0,1,,,
102.5081295,1,0,1,0,1,,,
414.5197568,1,0,1,0,1,,,
87.35242967,1,0,1,0,1,,,
254.9886013,1,1,0,1,0,,,
353.2603366,1,0,1,0,1,,,
461.2161489,1,0,1,0,1,,,
214.6952604,1,0,1,0,1,,,
346.1711889,1,0,1,0,0,,,
325.8608799,1,0,1,0,1,,,
231.0779089,1,1,0,0,1,,,
453.3271308,0,0,1,1,0,,,
573.4225622,1,0,1,0,1,,,
317.5677854,1,1,0,0,1,,,
344.0597945,1,0,1,0,0,,,
316.5536968,1,0,1,1,0,,,
559.946426,0,0,1,0,1,,,
407.7019037,1,1,0,1,0,,,
317.3378836,1,0,0,0,0,,,
273.2068829,0,0,1,0,1,,,
306.0632921,1,0,1,1,0,,,
368.4373507,1,0,1,0,0,,,
336.4095502,1,0,0,1,0,,,
339.6707963,1,0,1,0,1,,,
436.676674,1,0,1,0,1,,,
220.2314509,1,0,0,0,1,,,
562.8858549,0,0,1,0,0,,,
612.5883196,1,0,1,0,1,,,
173.9798839,1,0,1,0,0,,,
153.0751449,1,1,0,0,1,,,
341.5573713,0,0,1,0,0,,,
352.0655249,0,0,1,0,1,,,
221.9388753,1,0,1,1,0,,,
358.5039935,1,0,0,1,0,,,
268.635968,1,0,1,0,0,,,
382.707081,1,0,1,0,1,,,
271.1051457,0,0,1,0,1,,,
412.5463998,0,0,1,1,0,,,
464.8537404,1,0,1,0,1,,,
377.0190923,1,0,1,0,0,,,
404.8189969,0,0,1,0,0,,,
391.7041372,1,1,0,0,1,,,
326.7680787,0,0,1,0,1,,,
436.8941848,1,0,1,0,1,,,
283.133987,0,0,1,0,1,,,
387.1332996,1,0,1,0,0,,,
258.3634898,1,0,1,0,1,,,
185.1288172,0,0,0,0,1,,,
85.78438779,0,0,1,0,1,,,
352.7014733,0,0,1,0,1,,,
405.1836334,1,0,1,0,1,,,
319.5809725,1,0,1,0,1,,,
99.21338674,1,0,1,0,1,,,
474.723366,1,0,0,0,1,,,
356.0104268,1,0,1,1,0,,,
421.2648887,1,0,1,0,1,,,
438.1494573,0,0,1,0,0,,,
69.65564437,1,1,0,0,1,,,
334.5680921,1,0,1,0,1,,,
406.8963336,0,0,1,0,1,,,
504.2123417,0,0,1,0,1,,,
213.7185646,0,0,1,0,1,,,
322.5472012,1,0,0,0,1,,,
342.7018526,1,0,1,1,0,,,
328.4279559,0,0,0,0,1,,,
388.482815,1,0,1,0,1,,,
319.5325534,0,0,1,1,0,,,
498.0174192,0,0,1,0,1,,,
392.8617549,1,1,0,0,1,,,
370.976565,1,1,0,0,1,,,
123.0618128,1,0,1,0,0,,,
367.9217809,1,0,1,1,0,,,
354.042258,0,0,1,1,0,,,
335.2439357,0,0,1,0,1,,,
103.5319051,0,0,1,0,1,,,
376.163364,0,1,0,0,0,,,
286.6530154,0,0,1,1,0,,,
388.2624982,1,0,1,1,0,,,
409.6689909,1,1,0,0,0,,,
426.948137,1,1,0,0,1,,,
134.465589,1,0,1,0,0,,,
211.9773187,0,0,1,0,1,,,
219.5690109,1,1,0,1,0,,,
337.3918897,1,0,1,0,1,,,
366.440153,0,0,0,0,1,,,
258.2063735,1,0,1,0,1,,,
535.622275,1,0,1,0,1,,,
41.67197788,1,0,1,0,1,,,
474.5997531,1,0,1,0,1,,,
474.1047837,1,0,1,0,0,,,
436.9891243,1,0,1,1,0,,,
401.1629364,1,0,1,0,1,,,
402.7343504,0,0,1,0,0,,,
313.7948019,1,0,1,1,0,,,
193.6095816,1,0,1,0,1,,,
242.0285812,1,0,1,0,1,,,
314.4517948,0,0,1,1,0,,,
348.3819743,1,0,1,0,1,,,
333.0135132,1,0,1,0,1,,,
296.6494371,1,0,1,0,1,,,
442.9113274,1,0,1,1,0,,,
830.3932803,1,1,0,0,1,,,
447.4532858,1,1,0,1,0,,,
48.20551498,1,0,1,0,0,,,
414.6409777,1,1,0,0,0,,,
345.8562482,1,0,1,0,1,,,
733.2349291,1,0,1,0,1,,,
176.9342465,1,0,1,0,0,,,
66.0,1,0,0,0,1,,,
375.5704308,1,1,0,0,1,,,
464.7577354,1,0,1,0,1,,,
289.166859,1,0,1,0,0,,,
343.487912,1,0,1,1,0,,,
425.0744108,1,0,1,0,0,,,
207.8394466,1,0,1,0,1,,,
324.1755363,1,0,0,0,1,,,
386.3303892,1,0,1,0,1,,,
471.7738424,0,0,1,1,0,,,
46.32493929,1,1,0,0,1,,,
390.9144405,1,0,1,0,1,,,
388.928735,0,0,1,0,1,,,
309.24761,1,0,1,0,0,,,
446.5280778,0,0,1,0,1,,,
524.5077269,1,0,1,0,1,,,
861.4609117,1,0,1,0,1,,,
546.6968492,0,0,1,0,0,,,
523.3873582,1,0,1,0,1,,,
155.510019,0,0,1,0,1,,,
586.5057544,1,0,1,1,0,,,
296.4127091,0,0,1,0,1,,,
64.16812352,0,0,1,1,0,,,
178.4410564,1,1,0,0,1,,,
392.2131261,1,0,1,0,1,,,
