Unnamed: 0,Word Spacing,Size,Pen Pressure,Baseline
245,349.5556362,0.387016908,65,STRAIGHT
246,381.6002601,1.082242359,69,STRAIGHT
247,296.0125953,1.569172009,96,ASSENDING
248,37.55862138,3.513185552,165,STRAIGHT
249,66.66499096,0.8510889211,154,STRAIGHT
250,323.500134,1.303342344,168,STRAIGHT
251,411.5450103,1.163622524,182,STRAIGHT
252,148.2238269,1.043714024,182,STRAIGHT
253,466.4151952,0.7529422522,161,STRAIGHT
254,342.4819162,1.209300877,161,ASSENDING
255,509.9171335,2.557077579,156,STRAIGHT
256,528.5496551,0.9708082428,164,STRAIGHT
257,121.0444109,1.894480653,178,STRAIGHT
258,242.488179,0.7344267329,173,STRAIGHT
259,90.02777349,3.615869456,178,STRAIGHT
260,346.8048708,1.686208637,193,STRAIGHT
261,530.5974165,1.947184606,196,DESCENDING
262,371.23841,0.5348867104,199,STRAIGHT
263,138.6328338,0.9241905724,173,STRAIGHT
264,169.8222573,2.045015485,156,ASSENDING
265,344.1451474,2.101,153,STRAIGHT
266,494.4553079,0.6694302618,87,STRAIGHT
267,216.9469981,0.6567137774,31,STRAIGHT
268,437.5672818,0.6423504729,68,STRAIGHT
269,415.9352621,1.508252799,139,STRAIGHT
270,456.7923451,0.365860572,109,STRAIGHT
271,226.7728182,0.5772621805,132,STRAIGHT
272,33.83784863,0.8221429564,181,STRAIGHT
273,444.8558739,0.95214358,196,STRAIGHT
274,303.5984671,0.574542496,132,STRAIGHT
275,331.3061712,0.7507854116,77,STRAIGHT
276,309.994364,1.106483803,71,STRAIGHT
277,451.6995169,1.248148413,79,DESCENDING
278,327.4229148,0.7607578231,117,STRAIGHT
279,509.0437983,1.666630011,194,STRAIGHT
280,154.1009522,0.5061655012,177,STRAIGHT
281,92.64987858,0.9724797552,192,STRAIGHT
282,289.0410645,1.319313054,152,DESCENDING
283,276.6108928,1.787574339,122,DESCENDING
284,221.0582801,1.253718504,118,STRAIGHT
285,441.925097,0.3863925836,116,STRAIGHT
286,322.0134843,0.5724917505,138,STRAIGHT
287,163.0188623,0.7072525944,180,STRAIGHT
288,258.8298798,0.5179584531,166,STRAIGHT
289,248.3598203,0.8532460133,188,STRAIGHT
290,297.4681499,1.055913059,152,DESCENDING
291,177.4131749,0.9772699639,140,STRAIGHT
292,403.7419884,3.562763595,154,STRAIGHT
293,393.1940623,0.9797613559,170,STRAIGHT
294,302.5486361,4.644094432,163,STRAIGHT
295,223.4279869,0.6215180145,161,STRAIGHT
296,374.8668287,1.243074277,193,STRAIGHT
297,393.7730788,0.6696426898,182,STRAIGHT
298,341.1569553,1.714580263,158,DESCENDING
299,174.767789,0.9986879403,172,DESCENDING
300,476.4208429,0.4340333119,185,STRAIGHT
301,452.9430093,1.608114336,179,STRAIGHT
302,356.9941024,0.9945454634,134,STRAIGHT
303,429.9187573,0.9140055979,132,DESCENDING
304,177.3596817,0.705974937,124,STRAIGHT
305,327.1246429,0.8589284953,58,STRAIGHT
306,181.8378398,3.339765147,32,DESCENDING
307,260.7235101,0.5249020792,101,STRAIGHT
308,274.909014,2.395552013,199,DESCENDING
309,786.8576746,1.966050687,138,STRAIGHT
310,415.3672691,1.2940393,119,STRAIGHT
311,195.4336654,0.9440701716,136,STRAIGHT
312,412.3846269,0.558089462,163,STRAIGHT
313,315.1950056,0.8660064875,164,STRAIGHT
314,404.1643098,1.708744984,110,STRAIGHT
315,308.4712015,0.7159618393,88,STRAIGHT
316,316.9984899,0.70989702,82,STRAIGHT
317,474.1122343,1.561368793,79,ASSENDING
318,270.9673628,1.228512363,140,STRAIGHT
319,36.35410197,0.5036474348,161,STRAIGHT
320,201.7507102,1.060322206,127,STRAIGHT
321,377.9480365,0.9046425737,123,STRAIGHT
322,243.3093109,0.4170903634,127,STRAIGHT
323,301.5327511,1.120392627,142,STRAIGHT
324,52,1.225928335,127,STRAIGHT
325,276.2037077,0.769042634,115,STRAIGHT
326,133.7040664,0.5396684803,131,STRAIGHT
327,344.5845037,1.676016019,127,STRAIGHT
328,168.521257,0.8072886755,116,ASSENDING
329,421.6315951,1.080261415,136,STRAIGHT
330,327.6079475,0.6052964492,183,STRAIGHT
331,508.165545,0.3657773174,170,STRAIGHT
332,900.2805118,0.6834670261,189,DESCENDING
333,299.6606304,1.152304871,196,STRAIGHT
334,482.7890894,0.6549609835,149,STRAIGHT
335,601.2813623,0.7524794268,135,STRAIGHT
336,355.6052109,1.199333885,139,STRAIGHT
337,377.0621709,0.6059511244,144,STRAIGHT
338,157.5468184,1.468027122,148,STRAIGHT
339,435.8681324,2.725460644,160,STRAIGHT
340,117.1234146,0.5967404965,199,STRAIGHT
341,273.0602971,0.8394331525,198,STRAIGHT
342,188.2756773,1.851713089,192,STRAIGHT
343,513.4033584,3.343112443,159,ASSENDING
344,298.7917787,0.3545246339,157,ASSENDING
345,315.1843709,4.256736668,199,STRAIGHT
346,296.2554592,0.710129604,196,STRAIGHT
347,62.84863069,1.014392464,186,STRAIGHT
348,453.3524931,0.9126528241,191,STRAIGHT
349,403.0397003,0.5532867328,194,STRAIGHT
350,936.8975398,1.057662606,173,STRAIGHT
